Workclass,Education,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Hours per week,Country,Target,Age,Capital Gain,Capital Loss,age_binary
Private,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,40,United-States,<=50K,63,0,0,1
Local-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K,63,0,0,1
Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K,34,0,0,0
,Some-college,10,Married-civ-spouse,,Husband,Asian-Pac-Islander,Male,60,South,>50K,71,0,0,1
Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,80,United-States,<=50K,36,0,0,0
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,72,0,0,1
Local-gov,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,52,United-States,<=50K,59,0,0,1
Private,Some-college,10,Never-married,Sales,Own-child,Black,Male,44,United-States,<=50K,70,0,0,1
Private,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,40,United-States,<=50K,14,0,1408,0
Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,40,United-States,<=50K,17,0,0,0
State-gov,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,15,United-States,<=50K,36,0,0,0
Private,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,40,Puerto-Rico,<=50K,53,0,0,1
Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,<=50K,30,0,0,0
Private,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,25,United-States,<=50K,38,0,0,0
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,38,,>50K,72,0,0,1
Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,69,0,0,1
Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,43,United-States,<=50K,39,0,0,0
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,40,0,0,0
Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,50,United-States,<=50K,20,0,0,0
Private,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,70,0,0,1
Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,35,United-States,<=50K,18,0,0,0
Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40,United-States,>50K,37,0,0,0
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,38,United-States,<=50K,27,0,0,0
Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,<=50K,49,0,0,1
State-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,68,0,0,1
State-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,93,0,0,1
State-gov,Kinder,1,Never-married,Baby,Baby,White,Female,0,United-States,<=50K,1,0,0,0
Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,43,United-States,<=50K,12,0,0,0
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,40,United-States,<=50K,35,0,0,0
Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,30,,<=50K,62,0,0,1
Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,60,Honduras,>50K,52,0,1902,1
Federal-gov,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,55,United-States,>50K,24,0,0,0
Self-emp-inc,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,60,United-States,<=50K,50,0,0,1
Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K,14,0,0,0
Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,<=50K,66,0,0,1
Private,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,40,Puerto-Rico,<=50K,36,0,0,0
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,48,United-States,<=50K,67,0,0,1
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,45,5013,0,1
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,48,2407,0,1
,7th-8th,4,Married-spouse-absent,,Not-in-family,White,Male,40,,<=50K,51,0,0,1
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,40,0,0,0
Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K,53,0,0,1
Private,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,58,United-States,<=50K,37,0,0,0
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,20,0,0,0
Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,69,0,0,1
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K,71,0,0,1
Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,20,0,0,0
,Some-college,10,Never-married,,Own-child,White,Male,40,United-States,<=50K,53,0,0,1
Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,32,United-States,<=50K,49,0,0,1
Private,Bachelors,13,Separated,Sales,Own-child,Black,Female,40,United-States,<=50K,56,0,0,1
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,70,United-States,>50K,16,0,0,0
Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K,63,0,0,1
Private,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,20,United-States,<=50K,41,0,0,0
Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,40,Mexico,<=50K,24,0,0,0
Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K,38,0,0,0
,10th,6,Married-civ-spouse,,Husband,White,Male,2,United-States,<=50K,53,0,0,1
Private,11th,7,Never-married,Other-service,Own-child,White,Female,22,United-States,<=50K,69,0,0,1
Local-gov,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,<=50K,23,0,0,0
Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,30,United-States,<=50K,67,0,0,1
Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,40,Cuba,<=50K,13,0,0,0
Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,40,United-States,<=50K,22,0,0,0
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,<=50K,58,0,0,1
Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,40,United-States,>50K,60,14344,0,1
Private,HS-grad,9,Divorced,Sales,Own-child,White,Female,35,United-States,<=50K,43,0,0,1
Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K,48,0,0,1
Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,<=50K,63,0,0,1
Private,9th,5,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K,62,0,0,1
Federal-gov,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,>50K,58,0,0,1
Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,55,0,0,1
Private,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,40,United-States,<=50K,20,0,0,0
Private,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,25,United-States,<=50K,68,0,0,1
Private,HS-grad,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,35,,<=50K,62,0,1573,1
Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K,35,0,0,0
Local-gov,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,50,United-States,<=50K,39,0,0,0
Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K,71,0,1902,1
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,>50K,31,0,0,0
Private,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,40,England,<=50K,34,0,0,0
Federal-gov,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,40,United-States,<=50K,13,0,0,0
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,50,0,0,1
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,35,15024,0,0
Self-emp-not-inc,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,<=50K,51,0,0,1
Private,Some-college,10,Never-married,Tech-support,Own-child,White,Female,40,United-States,<=50K,72,0,0,1
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,32,0,0,0
Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,59,7688,0,1
,10th,6,Never-married,,Own-child,White,Female,32,United-States,<=50K,18,34095,0,0
Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K,47,0,0,1
Local-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,44,0,0,1
Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K,37,0,0,0
Private,Bachelors,13,Never-married,Sales,Other-relative,White,Male,40,United-States,<=50K,31,0,0,0
Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,51,0,0,1
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,50,Canada,>50K,62,0,1887,1
Private,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,25,United-States,<=50K,26,4064,0,0
Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,40,United-States,<=50K,69,0,0,1
Private,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,50,United-States,<=50K,69,0,0,1
Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,36,0,0,0
Local-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,>50K,13,0,0,0
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,56,United-States,<=50K,18,0,0,0
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,41,United-States,<=50K,59,0,0,1
Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,40,United-States,<=50K,22,0,0,0
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,<=50K,36,0,0,0
Private,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,40,Germany,<=50K,67,0,0,1
State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K,63,0,0,1
Private,Some-college,10,Never-married,Other-service,Own-child,Black,Male,35,United-States,<=50K,29,0,0,0
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,>50K,35,0,0,0
Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,28,United-States,<=50K,22,0,1719,0
Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K,24,0,0,0
,HS-grad,9,Married-civ-spouse,,Husband,White,Male,40,United-States,<=50K,40,0,0,0
Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,39,0,0,0
Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,60,United-States,<=50K,32,0,0,0
Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,40,United-States,<=50K,31,0,1762,0
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,<=50K,71,4386,0,1
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,48,0,0,1
Private,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,Female,36,United-States,<=50K,21,0,0,0
Federal-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,Iran,>50K,15,0,0,0
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,<=50K,43,0,0,1
Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,United-States,<=50K,45,0,0,1
Private,Some-college,10,Never-married,Sales,Own-child,White,Male,20,United-States,<=50K,17,0,0,0
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,>50K,66,0,0,1
Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,19,0,0,0
Private,Some-college,10,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K,56,0,0,1
Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,30,Mexico,<=50K,67,0,0,1
Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,>50K,68,0,1564,1
Private,Some-college,10,Never-married,Tech-support,Other-relative,White,Male,40,United-States,<=50K,46,0,0,1
Private,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,30,United-States,<=50K,24,0,0,0
Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,24,United-States,<=50K,54,0,0,1
Private,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,24,United-States,<=50K,11,0,0,0
Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,51,0,2179,1
,Some-college,10,Divorced,,Not-in-family,White,Female,40,United-States,<=50K,39,0,0,0
Local-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,38,Mexico,<=50K,41,0,0,0
Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,16,0,0,0
Private,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,40,Philippines,<=50K,20,0,0,0
Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,35,United-States,<=50K,32,0,0,0
,HS-grad,9,Divorced,,Not-in-family,White,Male,45,United-States,>50K,11,0,0,0
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,46,United-States,<=50K,45,0,0,1
Private,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K,65,0,0,1
Self-emp-not-inc,Some-college,10,Separated,Sales,Unmarried,Black,Male,2,United-States,<=50K,40,0,1816,0
Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,<=50K,59,0,0,1
Private,Bachelors,13,Separated,Other-service,Other-relative,Black,Male,50,United-States,<=50K,30,0,0,0
,1st-4th,2,Divorced,,Not-in-family,White,Female,20,United-States,<=50K,12,0,0,0
Private,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,40,United-States,<=50K,43,0,0,1
Self-emp-inc,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,40,United-States,<=50K,20,0,0,0
Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,40,England,<=50K,32,0,0,0
Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K,64,0,0,1
Private,Some-college,10,Divorced,Other-service,Unmarried,White,Female,40,Mexico,<=50K,19,0,0,0
Federal-gov,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,42,United-States,<=50K,40,0,0,0
State-gov,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,40,United-States,<=50K,53,0,0,1
Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,16,United-States,<=50K,61,0,0,1
Local-gov,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,20,United-States,<=50K,68,0,0,1
Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,40,United-States,<=50K,17,0,1980,0
State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,<=50K,37,0,0,0
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K,36,0,1977,0
Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,50,United-States,<=50K,33,0,0,0
State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,30,0,0,0
Private,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,Female,25,United-States,<=50K,48,0,0,1
Private,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,40,United-States,<=50K,35,0,0,0
Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K,37,0,0,0
Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,12,United-States,<=50K,36,0,0,0
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,65,United-States,<=50K,22,0,0,0
Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,38,United-States,>50K,14,0,0,0
Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,30,0,0,0
Private,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,45,United-States,<=50K,32,0,0,0
Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,>50K,13,0,0,0
Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,42,United-States,>50K,62,0,0,1
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,40,United-States,<=50K,50,0,0,1
Self-emp-not-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K,60,0,0,1
,Bachelors,13,Divorced,,Not-in-family,White,Female,50,United-States,<=50K,69,0,0,1
Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,<=50K,24,0,0,0
State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,United-States,>50K,53,0,0,1
Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,28,United-States,<=50K,13,0,0,0
Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,19,0,0,0
Local-gov,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,<=50K,42,0,0,0
Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,45,United-States,<=50K,26,0,0,0
Federal-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,24,United-States,<=50K,66,0,0,1
Private,5th-6th,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male,40,Mexico,<=50K,53,0,0,1
Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,56,0,0,1
Federal-gov,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,55,United-States,>50K,53,14084,0,1
Private,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,40,United-States,>50K,45,7298,0,1
Self-emp-not-inc,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K,24,0,0,0
Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,63,0,1876,1
,HS-grad,9,Never-married,,Own-child,White,Male,40,Italy,<=50K,13,0,0,0
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,17,0,0,0
Local-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,55,0,1340,1
State-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,35,United-States,<=50K,67,0,0,1
Private,11th,7,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K,72,0,0,1
Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,Black,Male,36,United-States,>50K,20,7298,0,0
Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,<=50K,54,0,0,1
Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,35,United-States,>50K,27,15024,0,0
Private,11th,7,Never-married,Sales,Own-child,White,Female,12,United-States,<=50K,19,0,0,0
Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,<=50K,70,0,0,1
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,55,0,0,1
Private,Some-college,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,40,United-States,<=50K,41,0,0,0
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,<=50K,43,0,0,1
Self-emp-inc,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,>50K,65,0,0,1
Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,60,United-States,>50K,44,0,0,1
Private,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female,40,United-States,<=50K,39,0,0,0
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,50,Poland,<=50K,67,0,0,1
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,<=50K,42,0,0,0
Private,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,53,0,0,1
Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K,15,0,0,0
,1st-4th,2,Divorced,,Not-in-family,White,Male,40,United-States,<=50K,32,0,0,0
Private,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,40,United-States,<=50K,68,0,2206,1
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,20,United-States,<=50K,59,0,0,1
Local-gov,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,35,United-States,<=50K,19,0,0,0
Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K,26,0,0,0
,10th,6,Divorced,,Not-in-family,Amer-Indian-Eskimo,Female,10,United-States,<=50K,23,0,0,0
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,<=50K,54,1409,0,1
Private,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,Female,20,Columbia,<=50K,57,0,0,1
Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,24,0,0,0
Private,11th,7,Separated,Transport-moving,Not-in-family,Black,Male,40,United-States,<=50K,23,3674,0,0
Private,HS-grad,9,Divorced,Sales,Unmarried,Black,Female,38,United-States,<=50K,69,0,0,1
Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,42,United-States,<=50K,50,0,0,1
Private,Some-college,10,Divorced,Craft-repair,Other-relative,Other,Female,40,United-States,<=50K,54,0,0,1
Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,55,United-States,>50K,66,0,0,1
State-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K,15,0,0,0
State-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,38,United-States,<=50K,40,0,0,0
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,Iran,>50K,48,0,0,1
Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,United-States,>50K,64,0,0,1
Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,40,United-States,<=50K,42,0,0,0
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,36,0,0,0
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,20,United-States,<=50K,16,0,0,0
State-gov,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,50,United-States,<=50K,68,0,0,1
,Some-college,10,Never-married,,Own-child,White,Male,20,United-States,<=50K,20,0,0,0
Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,68,0,1741,1
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,35,,<=50K,54,0,0,1
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,United-States,>50K,63,0,0,1
